Product Name,Review,Rating
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 16GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver","The laptop's screen is huge and great picture quality. Speakers are great even at max volume. Setup was easy including adding and syncing devices. The camera is truly 720p (not the best) but works. The battery life doesn't seem to be as long as I'd expect. It operates fast even with multiple applications running. Overall, great purchase.",5
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 16GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",Great product,5
"HP Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Office 365 1-Year, Intel UHD Graphics, HD Webcam, Bluetooth, WiFi, Windows Home in S Model",See review title.,4
"HP Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Office 365 1-Year, Intel UHD Graphics, HD Webcam, Bluetooth, WiFi, Windows Home in S Model","The laptop works great so far. It wasn't easy to switch the operating system from Safe mode to Windows Home 11 but I finally succeeded and there weren't any charges from doing that. I do agree with the person who complained about the keyboard characters being hard to see, but that is only if there is a glare on it from the lamp. I can see them fine in normal light. It is plenty fast and has automatic functions that are user friendly. My laptop was stolen at the UPS processing center by some seasonal worker (apparently this is a common problem) before it got to me and an empty open box with another box of bolts for someone else was what was delivered. I took pictures of it and reported it to UPS and have heard nothing from them in follow-up. Amazon was great! They processed the replacement request and work with the seller without any hassle for me, and replaced the stolen laptop free of charge and promptly! Thank goodness! I really like my new laptop!",5
"HP Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Office 365 1-Year, Intel UHD Graphics, HD Webcam, Bluetooth, WiFi, Windows Home in S Model",Si me sgradoy,4
"HP Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Office 365 1-Year, Intel UHD Graphics, HD Webcam, Bluetooth, WiFi, Windows Home in S Model","It’s a great laptop, fast and easy to use. A lot of storage space and the graphics are pretty good for a standard laptop. However; if you’re buying for gaming purposes, note that most online games will not work and if they do, you’ll more than likely experience heavy glitchy.",5
"HP Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Office 365 1-Year, Intel UHD Graphics, HD Webcam, Bluetooth, WiFi, Windows Home in S Model",Great screen quality and easy to use.,5
"HP Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Office 365 1-Year, Intel UHD Graphics, HD Webcam, Bluetooth, WiFi, Windows Home in S Model",I have moved back to HP to be more compatible with my Printer.  I like the white keys and the graphics are great.  Just getting into the workings but great so far.,5
"HP Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Office 365 1-Year, Intel UHD Graphics, HD Webcam, Bluetooth, WiFi, Windows Home in S Model",The screen is great and HD is great for videos and streaming movies.,5
"HP Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Office 365 1-Year, Intel UHD Graphics, HD Webcam, Bluetooth, WiFi, Windows Home in S Model",Sure would be nice if the whole thing worked. Had it a couple weeks only to find out neither USB ports work. Spent 5 hours with tech support and 3 different techs and no luck. Trying to return through Amazon and having trouble with that too!!!!!!! Very unhappy customer!,1
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11","Its an ok laptop but dont expect to do any gaming at all, mainly just for school work on top of that its still a tad slow for my taste. With a fresh OS theres no reason why i should have keyboard lag and applications taking a bit to load, id rather save 100-200 more and get yourself something with better CPU, most laptops you will find with a price range of 100-200 more will probably not give you 16gb of ram or 1tb ssd, but the sacrifice will be worth the better cpu, plus you can always add more ram to the laptop later.",5
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11","Computer was described as 15'6 inch screen,  The one received has a 15 inch screen,  I would have returned but had to complete a project.  The technician who set up the computer was impressed as to the speed, etc.  I feel I should be compensated to the cost of the technician's cost of $100. since it was not as advertised.  I am sure this will not be put into the review section of the item.",4
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11","This transaction was seamless, quite satisfied with the product and service.",4
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11","This laptop looks beautiful, loads fast, has excellent ram, and has 1TB of SSD which is hard to find at this price point.  The cons I have are the battery life and that it only has 2 USB ports.  The battery might last 2 hours at best but it does have a battery saver mode which does help with the battery life.  Overall I'm happy with the purchase.",5
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11","Lots of space and very large screen, battery lasts a very long time.",5
"HP 2022 Newest Pavilion 15.6"" HD Laptop, Intel Quad-core Pentium Processor, 16GB RAM, 1TB SSD, 11 Hr Battry Life, Intel UHD Graphics, HD Webcam, Bluetooth, HDMI, USB Type-C, Scarlet Red, Win 11","This is an excellent 2T Laptop Computer. Everything about it is excellent, except I'd rather have Windows 7. But the computer itself is excellent.",5
